issuer,wfo,name,note
JSJ,SJU,,Older identifier for NWS San Juan; the office has used SJU since.
AAQ,,National Tsunami Warning Center,Not a forecast office; counted nationally and by county but not by office.
HEB,,Pacific Tsunami Warning Center,Not a forecast office; counted nationally and by county but not by office.
NHC,,National Hurricane Center,Not a forecast office; counted nationally and by county but not by office.
HS,,Unknown issuer HS,One row in 2012; counted nationally and by county but not by office.
